time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,0,0,0,0,N/A,N/A,"(0, 0, 0)",0
0,0,0,0,0,N/A,darkslategray,"(52.03619047619048, 58.323597883597884, 53.29693121693122)",0
0,0,0,0,0,N/A,darkslategray,"(56.34884114363052, 58.51031974285231, 56.02283877516495)",0
0,0,0,0,0,N/A,darkslategray,"(56.394174757281554, 59.406601941747574, 56.75844660194175)",0
0,0,0,0,0,N/A,darkslategray,"(55.63637022541132, 58.30680582735377, 56.16365876639849)",0
0,0,0,0,0,N/A,darkslategray,"(72.03735922330097, 74.19308737864078, 76.625786407767)",0
0,0,0,0,0,N/A,darkslategray,"(75.69722719141323, 79.26863446630888, 82.66949910554561)",0
0,0,0,0,0,N/A,darkslategray,"(75.80510269871972, 79.48733535967578, 85.01897393386756)",0
0,0,0,0,0,N/A,darkslategray,"(77.4383877159309, 79.06226487523992, 84.54886756238004)",0
0,0,0,0,0,N/A,darkslategray,"(77.73396584440228, 81.48500948766603, 84.60607210626186)",0
0,0,0,0,0,N/A,darkslategray,"(78.40481870229007, 80.47185114503817, 85.02409351145039)",0
0,0,0,0,0,N/A,darkslategray,"(75.43546065259117, 79.09980806142035, 86.46569097888676)",0
0,0,0,0,0,N/A,darkslategray,"(71.93511450381679, 73.34756679389314, 75.54389312977099)",0
0,0,0,0,0,N/A,darkslategray,"(66.04138513513513, 67.37367277992279, 67.80707046332046)",0
0,0,0,0,0,N/A,darkslategray,"(66.61861753371869, 66.80166184971098, 68.13607899807322)",0
0,0,0,0,0,N/A,darkslategray,"(66.61861753371869, 66.80166184971098, 68.13607899807322)",0
0,0,0,0,0,N/A,darkslategray,"(66.61861753371869, 66.80166184971098, 68.13607899807322)",0
0,0,0,0,0,N/A,darkslategray,"(66.61861753371869, 66.80166184971098, 68.13607899807322)",0
0,0,0,0,0,N/A,darkslategray,"(73.38189163498099, 70.03326996197718, 76.85456273764258)",0
0,0,0,0,0,N/A,darkslategray,"(72.88640692640692, 70.74666666666667, 76.36900432900433)",0
0,0,0,0,0,N/A,darkslategray,"(71.91781106949647, 69.77881814398668, 76.42342904702456)",0
0,0,0,0,0,N/A,darkslategray,"(71.85414065751145, 70.79317519766958, 76.33083645443196)",0
0,0,0,0,0,N/A,darkslategray,"(73.54417293233082, 70.34586466165413, 77.47857142857143)",0
0,0,0,0,0,N/A,darkslategray,"(73.8895596590909, 70.73484848484848, 76.96922348484848)",0
0,0,0,0,0,N/A,darkslategray,"(74.31686020343865, 72.16068052930056, 78.68692051489784)",0
0,0,0,0,0,N/A,darkslategray,"(71.73473520249222, 71.11479750778817, 77.78785046728972)",0
0,0,0,0,0,N/A,darkslategray,"(73.2353957829243, 69.6168337366056, 75.61475976494988)",0
