time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0
0,0,0,0,0,N/A,darkslategray,"(45.10605399339111, 46.88671363551344, 44.488995573290104)","(75.95340501792114, 77.54864311315924, 79.28853046594982)","(10.200662083015024, 11.656480774127832, 8.17494270435447)","(83.6642228739003, 85.37487781036168, 86.21187683284458)","(10.785123966942148, 13.121536217792903, 4.6125425376762275)",90,0,0.9970703125
0,0,0,0,0,N/A,darkslategray,"(47.21142594929448, 47.79241711598027, 46.23540208787427)","(80.66689671037497, 81.67954911433172, 84.37083045778698)","(9.967048054919909, 10.926773455377575, 7.936155606407323)","(85.22475270301358, 87.09615827007131, 87.64504255808603)","(13.363157894736842, 11.852402745995423, 5.408237986270023)",90,0,0.990234375
0,0,0,0,0,N/A,darkslategray,"(46.63850676072898, 47.974603174603175, 46.06719576719577)","(79.85882635882636, 81.50481000481001, 84.6041366041366)","(9.496392496392497, 10.4997594997595, 6.748677248677248)","(85.53439153439153, 87.09477800782149, 88.1610305958132)","(11.493903841729928, 12.62755923625489, 4.720956981826547)",90,0,0.994140625
0,0,0,0,0,N/A,black,"(35.02789046653144, 34.45598377281947, 32.47231237322515)","(51.4500683994528, 51.872640218878246, 52.136388508891926)","(16.77783857729138, 15.452120383036936, 11.806429548563612)","(53.95949197860963, 53.35173796791444, 54.442914438502676)","(17.882620320855615, 17.111363636363638, 11.480748663101604)",90,0,0.9970703125
0,0,0,0,0,N/A,darkslategray,"(41.226812428078254, 37.6240889911776, 36.641235136171844)","(65.29526029526029, 62.623465423465426, 64.55633255633256)","(17.926184926184927, 11.242579642579642, 8.091064491064492)","(65.91833333333334, 64.40439393939394, 65.86045454545454)","(15.786666666666667, 12.191363636363636, 8.041212121212121)",90,0,0.98095703125
0,0,0,0,0,N/A,darkslategray,"(53.332896804609746, 49.124148768989, 51.079660255930555)","(72.05226480836237, 69.60036358127556, 73.22451143766096)","(34.9619754582639, 25.090440842296623, 25.535524920466596)","(75.68515232179828, 73.90461401952085, 77.76737651582373)","(30.640490979000298, 27.816474415853296, 27.710292812777286)",90,0,0.9462890625
0,0,0,0,0,N/A,darkslategray,"(56.51202886928629, 52.13938907924473, 54.56251366916965)","(81.5381015065087, 80.06947491589878, 84.26005557993273)","(30.917732558139534, 22.438808139534885, 20.936337209302327)","(85.77504753546877, 83.48734825215737, 89.22422114962703)","(28.15654069767442, 22.932412790697676, 24.231686046511626)",90,0,0.97705078125
0,0,0,0,0,N/A,darkslategray,"(44.22604335166613, 38.82639922355225, 39.65373665480427)","(54.97220779220779, 50.037532467532465, 51.4751948051948)","(36.48936170212766, 26.75035460992908, 24.674661508704062)","(56.82714285714286, 53.88792207792208, 56.25597402597403)","(28.781044487427465, 24.81611863313991, 26.4107027724049)",90,0,0.763671875
0,0,0,0,0,N/A,darkslategray,"(44.27435593271892, 38.372144660400885, 39.80627794506798)","(54.7128078817734, 49.35233990147783, 52.28349753694581)","(37.84115920763023, 26.44876497921252, 27.113597456590853)","(54.394430992736076, 52.37941888619855, 53.06682808716707)","(30.361461714148334, 25.467964899627358, 26.93857434787835)",90,0,0.8525390625
0,0,0,0,0,N/A,black,"(34.19715359828142, 27.312137486573576, 25.8390440386681)","(38.96613459879206, 32.621225194132876, 31.3452329594478)","(38.13222079589217, 27.98288403936671, 26.425652545999146)","(28.14829594477998, 22.427847282139776, 19.75118636755824)","(31.53155755241763, 26.22004706889174, 25.829375267436884)",90,0,0.62841796875
0,0,0,0,0,N/A,black,"(31.76590653153153, 24.31320382882883, 22.43975225225225)","(27.020176426426428, 20.493055555555557, 18.33549174174174)","(42.35548048048048, 31.668074324324323, 29.29757882882883)","(22.04983108108108, 15.35397897897898, 11.871433933933934)","(35.63813813813814, 29.737706456456458, 30.254504504504503)",90,0,0.6025390625
0,0,0,0,0,N/A,black,"(31.76590653153153, 24.31320382882883, 22.43975225225225)","(27.020176426426428, 20.493055555555557, 18.33549174174174)","(42.35548048048048, 31.668074324324323, 29.29757882882883)","(22.04983108108108, 15.35397897897898, 11.871433933933934)","(35.63813813813814, 29.737706456456458, 30.254504504504503)",90,0,0
0,0,0,0,0,N/A,darkslategray,"(67.77670544685351, 64.16188524590164, 65.7119910100476)","(104.75136612021858, 104.04590163934427, 110.4879781420765)","(31.776502732240438, 27.153551912568307, 24.04016393442623)","(101.00870901639344, 100.4234118852459, 106.07710040983606)","(33.631147540983605, 25.204405737704917, 22.436731557377048)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(67.11854951185495, 64.69170153417015, 66.22531380753138)","(105.03960948396094, 104.57824267782426, 110.67698744769875)","(29.72189679218968, 26.856066945606695, 22.776569037656905)","(101.9168758716876, 101.35620641562065, 107.57517433751744)","(31.79581589958159, 25.97629009762901, 23.872524407252442)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(67.91058655221745, 66.14585121602289, 67.84878397711016)","(108.7035765379113, 107.92932761087268, 114.36824034334764)","(29.218884120171673, 26.433476394849784, 22.954792560801145)","(104.54792560801144, 104.56022889842632, 110.579113018598)","(29.171959942775395, 25.660371959942776, 23.49298998569385)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(67.30540621266428, 65.5421146953405, 68.12567204301075)","(111.27685185185184, 111.49012345679013, 118.30555555555556)","(24.19351851851852, 21.918827160493827, 19.71388888888889)","(106.49479166666667, 107.13917824074075, 113.6550925925926)","(27.310185185185187, 21.765625, 20.93865740740741)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(67.24770141810815, 66.06568489948575, 67.15739442106903)","(114.81674718196457, 115.09049919484703, 121.83252818035427)","(19.36038647342995, 17.536231884057973, 13.434460547504026)","(110.39553140096618, 111.13103864734299, 116.95863526570048)","(24.398248792270532, 20.53592995169082, 16.46346618357488)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(65.29465554525795, 64.20957676861292, 66.98443002780353)","(110.51284007119247, 110.7813374014747, 118.18789727943046)","(18.83577935222672, 16.75733805668016, 15.013157894736842)","(108.46111111111111, 109.2915458937198, 116.07512077294686)","(23.720913461538462, 20.393509615384616, 19.093028846153846)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(62.527948402948404, 61.856019656019654, 63.198218673218676)","(102.9307881773399, 103.01428571428572, 108.80320197044335)","(20.285539215686274, 19.36200980392157, 16.139950980392157)","(103.00492610837438, 103.58226600985222, 109.27807881773398)","(24.287009803921567, 21.871813725490195, 19.021078431372548)",90,0,0.998046875
0,0,0,0,0,N/A,darkslategray,"(61.34788029925187, 60.30211970074813, 62.46415211970075)","(99.023, 99.3555, 105.6795)","(21.589054726368158, 20.587562189054726, 18.64129353233831)","(99.61125, 99.7005, 104.873)","(25.546019900497512, 21.955223880597014, 21.088805970149252)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(56.875670432500286, 55.23319639392902, 57.275989957777014)","(86.31922196796339, 85.57734553775744, 90.78741418764302)","(22.01638971090371, 20.291600273161848, 18.445936717505123)","(92.69061784897025, 91.68787185354691, 98.19176201372997)","(26.818119735943547, 23.725699977236513, 22.068518096972458)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(60.133566433566436, 57.61838161838162, 59.232817182817186)","(99.49138621794872, 98.02844551282051, 103.48036858974359)","(17.787963332004782, 14.907532881626146, 12.116381028298127)","(99.05328525641026, 97.89503205128206, 104.12099358974359)","(24.60721402949382, 20.06058190514149, 17.675368672778)",90,0,0.998046875
0,0,0,0,0,N/A,darkslategray,"(53.45237373737374, 51.417020202020204, 52.95030303030303)","(82.19094650205761, 81.27160493827161, 86.07366255144034)","(17.826748971193414, 15.960699588477366, 13.769135802469135)","(88.28095238095239, 86.56527777777778, 91.4811507936508)","(25.264880952380953, 21.670436507936508, 20.2609126984127)",90,0,0.9951171875
0,0,0,0,0,N/A,darkslategray,"(47.92435735356089, 44.122629582806574, 44.80555555555556)","(68.53648915187377, 65.44604113834883, 68.41110171879403)","(29.657703081232494, 21.238795518207283, 19.688935574229692)","(69.32530290222599, 67.96956889264581, 71.30304311073542)","(24.425070028011206, 22.101820728291315, 20.113865546218488)",90,0,0.998046875
0,0,0,0,0,N/A,darkslategray,"(47.61303827751196, 44.328588516746414, 44.52260765550239)","(70.83397129186604, 68.06937799043062, 72.15023923444976)","(24.456778309409888, 18.305582137161085, 15.315948963317384)","(71.88038277511961, 70.89585326953748, 73.79920255183413)","(23.281020733652312, 20.04354066985646, 16.825039872408293)",90,0,0.9970703125
0,0,0,0,0,N/A,darkslategray,"(53.1904808829326, 49.824743791880174, 51.48965313362239)","(82.70669607056936, 81.06916599839614, 85.78708901363272)","(18.471732157177225, 13.568765036086608, 11.464915797914996)","(86.90174418604651, 84.64496124031008, 90.93992248062015)","(24.508333333333333, 19.84903100775194, 17.57577519379845)",90,0,0.9970703125
0,0,0,0,0,N/A,darkslategray,"(53.41947674418605, 49.4968507751938, 50.35140503875969)","(81.99302325581395, 80.16298449612403, 84.98643410852713)","(19.25968992248062, 13.963372093023256, 10.727131782945737)","(86.58178294573644, 84.30368217054263, 89.16065891472869)","(25.843410852713177, 19.55736434108527, 16.531395348837208)",90,0,0.986328125
0,0,0,0,0,N/A,darkslategray,"(50.607508868742606, 48.43225266062278, 48.89520102483248)","(78.29129911788291, 76.86347233360064, 79.73957497995188)","(18.302125100240577, 16.031475541299116, 12.084803528468324)","(81.47228682170542, 79.61472868217054, 84.0343023255814)","(24.210271317829456, 21.087015503875968, 19.523255813953487)",90,0,0.9912109375
0,0,0,0,0,N/A,black,"(38.11264492753623, 33.79115942028986, 31.73590579710145)","(49.15202898550724, 44.80057971014493, 44.792028985507244)","(27.925942028985506, 20.592028985507245, 14.542028985507246)","(52.21289855072464, 49.018115942028984, 49.67463768115942)","(23.159710144927537, 20.75391304347826, 17.934927536231886)",90,0,0.998046875
0,0,0,0,0,N/A,black,"(37.40970021226484, 32.13791398912506, 30.385275217353378)","(49.40277777777778, 44.32285781544256, 44.701153483992464)","(28.601168907071887, 19.164815897136176, 13.918527177089421)","(49.45393518518519, 46.027314814814815, 46.56689814814815)","(22.3983908045977, 19.201954022988506, 16.52735632183908)",90,0,0.83203125
0,0,0,0,0,N/A,black,"(32.436957868649316, 26.227695167286246, 24.244372160264355)","(40.945791873963515, 36.24243366500829, 36.00456053067993)","(27.083230452674897, 18.104012345679013, 14.523251028806584)","(35.52943615257048, 30.348051409618574, 28.76492537313433)","(26.275308641975307, 20.320987654320987, 17.805349794238683)",90,0,0.61376953125
0,0,0,0,0,N/A,black,"(30.272310323383085, 24.86499792703151, 21.89948694029851)","(37.5787728026534, 32.2867951907131, 30.63629767827529)","(27.41355721393035, 18.492330016583747, 14.998030679933665)","(30.70190713101161, 26.843076285240464, 23.98051409618574)","(25.395004145936984, 21.837790215588722, 17.983105306799338)",90,0,0.96875
0,0,0,0,0,N/A,black,"(24.98219467807781, 18.421622153361863, 15.664994343613202)","(25.21748148148148, 19.087604938271603, 17.653827160493826)","(28.38477366255144, 19.14628649813835, 15.724769743288261)","(18.400493827160492, 12.138765432098765, 7.441777777777777)","(27.875661375661377, 23.269253380364493, 21.790123456790123)",90,0,0.95068359375
0,0,0,0,0,N/A,black,"(26.643939393939394, 19.64424141749723, 17.36645525017618)","(22.292962851102384, 15.373401792006444, 14.124735729386892)","(34.12302426255915, 23.480016107923085, 20.841638981173865)","(17.520889962750427, 11.200644316923388, 7.483137018020739)","(32.63888049934562, 28.52290345313601, 27.016309272123227)",90,0,0.6044921875
0,0,0,0,0,N/A,black,"(27.08351256816355, 20.11846879141411, 17.2740228986074)","(20.22833333333333, 12.859473684210526, 10.04561403508772)","(40.18452173913043, 28.242782608695652, 24.247478260869567)","(15.270105957964217, 10.25872850442939, 7.003039777661977)","(32.55118381403358, 28.973224278949633, 27.64588893671976)",90,0,0.56396484375
0,0,0,0,0,N/A,black,"(27.08351256816355, 20.11846879141411, 17.2740228986074)","(20.22833333333333, 12.859473684210526, 10.04561403508772)","(40.18452173913043, 28.242782608695652, 24.247478260869567)","(15.270105957964217, 10.25872850442939, 7.003039777661977)","(32.55118381403358, 28.973224278949633, 27.64588893671976)",90,0,0
0,0,0,0,0,N/A,darkslategray,"(78.13848286290323, 77.51932123655914, 82.30191532258064)","(130.82728494623655, 131.26024865591398, 141.64986559139786)","(28.036962365591396, 27.665658602150536, 27.792674731182796)","(126.81602822580645, 127.72446236559139, 138.30510752688173)","(26.873655913978496, 23.426915322580644, 21.460013440860216)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(71.52124529190208, 70.33974811676083, 75.9482697740113)","(117.92113935969869, 118.05579096045197, 128.4665725047081)","(27.434557438794727, 25.568267419962336, 26.07909604519774)","(113.91713747645952, 114.31167608286252, 124.8458097928437)","(26.812146892655367, 23.423258003766477, 24.401600753295668)",90,0,0.9990234375
