time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,black,"(5.967841754798276, 6.048726987857423, 4.238405797101449)","(1.2046220133176655, 0.7673325499412456, 0.6474735605170387)","(2.8107324716020368, 1.9140618879749314, 0.936466901684293)","(10.362788875832354, 11.229220524872698, 8.922522522522522)","(9.49322365844105, 10.284292988640814, 6.447160203681943)",90,0,0.9951171875,0
0,0,0,0,0,N/A,black,"(20.25359256128487, 22.068676622522776, 18.760627406781254)","(26.392889630078837, 28.94534566403881, 26.22324135839903)","(10.55218601851155, 10.105726540747987, 5.906915494017609)","(29.38325330132053, 32.50585234093637, 30.110744297719087)","(14.760688216892596, 16.79174735587666, 12.883360643527483)",90,0,0.98193359375,0
0,0,0,0,0,N/A,black,"(27.285101001697228, 30.860744117940698, 27.40698525741289)","(31.452003478493545, 34.837179744464514, 28.474948157067363)","(25.215131446919525, 24.96039868887551, 19.333333333333332)","(32.59735099337748, 39.74192052980133, 38.33576158940397)","(19.896887417218544, 23.884238410596026, 23.41384105960265)",90,0,0.97314453125,0
0,0,0,0,0,N/A,black,"(25.894108701401745, 27.720196376619942, 25.283572467601164)","(31.22434875066454, 32.719763423710795, 28.260034556087188)","(22.139819245082403, 20.44790005316321, 16.008639021796917)","(32.050065789473685, 36.55789473684211, 36.25875)","(18.17796052631579, 21.1325, 20.543881578947367)",90,0,0.96875,0
0,0,0,0,0,N/A,black,"(25.051785714285714, 25.53588598901099, 25.49586195054945)","(33.93743131868132, 34.324862637362635, 34.39313186813187)","(16.57912087912088, 14.273145604395605, 12.914217032967032)","(31.51888736263736, 34.00178571428572, 35.18509615384615)","(18.171703296703296, 19.54375, 19.491002747252747)",90,0,0.97705078125,0
0,0,0,0,0,N/A,black,"(24.596142456982793, 25.418935574229693, 26.117086834733893)","(34.67254294201214, 35.82855482371174, 36.72497739894098)","(15.642650741668271, 13.37937455853079, 13.31278494830797)","(31.22197395301328, 34.12493615934627, 36.06894790602656)","(16.952831386490605, 18.43048501777552, 18.450863382427627)",90,0,0.9931640625,0
0,0,0,0,0,N/A,black,"(24.14731810079404, 25.333300923675257, 26.54877653540755)","(36.55288900482588, 38.14549367418808, 40.36357114908048)","(13.025629320464327, 11.549628277031433, 11.754793269857831)","(30.659558018168934, 33.801688035564716, 36.12067521422589)","(16.36666451903872, 17.82468913085497, 17.94426905482894)",90,0,0.9892578125,0
0,0,0,0,0,N/A,black,"(23.92892018467466, 25.012023781844754, 26.070149799050053)","(37.10922459893048, 38.78368983957219, 41.01671122994652)","(11.507085561497327, 9.934024064171123, 10.410695187165775)","(30.85317224532911, 33.765300059417704, 35.40430448273585)","(16.25556215752294, 17.548953588169276, 17.4400871459695)",90,0,0.9462890625,0
0,0,0,0,0,N/A,black,"(27.50330283224401, 25.77120697167756, 30.00158605664488)","(40.50014072614692, 40.32718829158458, 46.34386433999437)","(14.71808510638298, 10.45541713325868, 14.246080627099664)","(35.60143065490659, 34.90513230085423, 39.947288006111535)","(19.307612600165793, 17.51222713456756, 19.615432439900523)",90,0,0.76171875,0
0,0,0,0,0,N/A,black,"(26.638139484824567, 24.0427279902418, 28.32858577886202)","(40.83088182535696, 39.67166535122336, 44.54889861519696)","(17.45971155915907, 11.426562387888355, 14.776924732725838)","(31.853698787400443, 30.548898615196958, 36.91884910669441)","(16.40826576738179, 14.523785606658535, 17.06967066083088)",90,0,0.80322265625,0
0,0,0,0,0,N/A,black,"(27.260974702380953, 24.090926001082252, 27.703361742424242)","(39.681277056277054, 37.45400432900433, 42.0698051948052)","(23.564596861471863, 16.568993506493506, 19.632575757575758)","(30.736742424242426, 29.919507575757574, 35.55986201298701)","(15.061282467532468, 12.421198593073592, 13.551204004329005)",90,0,0.6484375,0
0,0,0,0,0,N/A,black,"(26.189144481778236, 23.606289308176102, 27.56412509692427)","(40.40464598692447, 39.039713451105854, 44.37800806788149)","(19.529847132876807, 12.928685066057964, 16.26347098291485)","(30.48385989010989, 30.137087912087914, 36.13516483516484)","(14.53285519125683, 12.498087431693989, 13.686338797814207)",90,0,0.7392578125,2.889576630986658
0,0,0,0,0,N/A,black,"(26.37875189969605, 24.382218844984802, 28.91199658054711)","(38.371770516717326, 37.20054457953394, 42.51070162107396)","(22.666729989868287, 16.421035967578522, 19.521529888551164)","(30.574531408308005, 31.14735309017224, 38.31541286727457)","(13.901975683890578, 12.759941742654508, 15.300341945288753)",90,0,0.97314453125,2.889576630986658
0,0,0,0,0,N/A,black,"(26.55983464542995, 24.931760843794645, 29.720842578801786)","(38.73500091737508, 38.30927772001712, 44.27270503333129)","(21.51660448902208, 16.534707357348175, 19.532261023790593)","(32.332426879381195, 32.31750060430264, 39.810309402948995)","(13.740210297316896, 12.62484892434131, 15.320038675368625)",90,0,0.99609375,2.889576630986658
0,0,0,0,0,N/A,black,"(26.679372123602892, 24.343737672583828, 28.966995397764627)","(39.94352399737015, 39.27376725838264, 45.85371466140697)","(17.287968441814595, 11.61689677843524, 15.07508218277449)","(33.202629848783694, 32.212689020381326, 38.45246548323471)","(16.28336620644313, 14.271597633136095, 16.48671926364234)",90,0,0.94287109375,2.889576630986658
0,0,0,0,0,N/A,black,"(26.759785353535353, 24.615364167995747, 29.550006645401382)","(40.04485645933014, 38.84190590111643, 46.64759436469963)","(16.537413609782032, 10.59908293460925, 14.201754385964913)","(33.79000531632111, 33.29306220095694, 39.82203615098352)","(16.666866028708135, 15.727405635300372, 17.52864167995747)",90,0,0.990234375,2.889576630986658
0,0,0,0,0,N/A,black,"(27.030583226351627, 26.260136178234234, 32.39844321302631)","(39.45125951193912, 40.270532668590924, 48.98543689320388)","(13.714192453322887, 11.016516516516516, 16.20629324977151)","(36.71320388349515, 36.702783171521034, 44.65663430420712)","(18.337713365539454, 17.15149758454106, 19.888953301127213)",90,0,0.96875,2.889576630986658
0,0,0,0,0,N/A,black,"(26.652619404443865, 25.745894963184988, 31.558252427184467)","(37.12883757543952, 37.7236289687746, 46.72343217003411)","(12.085541852532144, 10.40087903437418, 14.239569666754132)","(38.0231715210356, 37.475404530744335, 44.80588996763754)","(19.318381877022652, 17.338770226537218, 20.435404530744336)",90,0,0.9990234375,2.889576630986658
0,0,0,0,0,N/A,black,"(25.582770027326333, 25.228929958291385, 31.51540701855314)","(34.605896770472896, 35.161764705882355, 43.559183967704726)","(12.474461979913917, 11.07245337159254, 15.403586800573889)","(37.013336216839676, 37.32425028835063, 45.98471741637832)","(18.33715925394548, 17.46470588235294, 21.243472022955523)",90,0,0.990234375,2.889576630986658
0,0,0,0,0,N/A,black,"(26.03445151339888, 26.387565066512433, 32.923809523809524)","(35.50065713181291, 37.16420564360263, 45.956474681097795)","(10.831538461538461, 10.710923076923077, 15.141615384615385)","(39.75175879396985, 40.02404329339003, 49.30707383069192)","(18.16976923076923, 17.773153846153846, 21.437153846153848)",90,0,0.8798828125,2.889576630986658
