time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(10.778765514927876, 81.79553840992955, 79.27272727272727)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(1.9852216748768472, 58.10665024630542, 65.73965517241379)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(1.9852216748768472, 58.10665024630542, 65.73965517241379)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(31.66509009009009, 85.74594594594595, 78.24763513513514)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(25.368271632977514, 76.06211673858732, 69.4950034067681)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(21.862357155040083, 96.05355619989767, 90.50741940985843)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(25.752351097178682, 99.95198812077216, 93.29780564263324)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(27.079173112079875, 91.79327801996907, 84.41161580649698)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkslategray,"(29.066778610178247, 89.38930508912426, 82.66055282872642)",0
0,-0.0,-0.0,0.0,-0.0,N/A,teal,"(27.270064440538956, 115.70025385666862, 111.70474516695958)",0
0,-0.0,-0.0,0.0,-0.0,N/A,darkcyan,"(22.612531328320802, 135.97694235588972, 131.8593984962406)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
0,-0.0,-0.0,0.0,-0.0,N/A,cyan,"(0.0, 255.0, 255.0)",0
